id,author,recommended,score,is_confirmed,issue_date,purchase_date,votes_yes,votes_no,contents,positives,negatives
11421362,Filip,Polecam,4.0,Nie,2019-12-13,2019-12-13,2,0,"Monitor świetny. Do codziennej pracy te dłuższe proporcje ekranu są zbawienne, nie mówiąc już o grach czy filmach. Kolory są dobrze odwzorowane aczkolwiek dla grafika może być problematyczny - po bokach monitora są delikatnie zniekształcone kolory (wyblakłe, mniej nasycone). Wynika to zapewne z nierównomiernego podświetlenia. W zestawie jest kabel HDMI - jeśli ktoś liczy na Display Port to musiałby dokupić. 
Mimo wszystko monitor godny polecenia. W tej cenie otrzymujemy wysoką rozdzielczość, więcej przestrzeni użytkowej oraz większy komfort pracy.

Zalety:
- cena
- rozdzielczość
- komfort pracy
- komfort podczas grania i oglądania filmów o proporcjach kinowych
- odwzorowanie kolorów...

Wady:
- ... które tracą trochę na swojej barwie po bokach ekranu (siedząc pośrodku)
- brak kabla Display Port",,
11197969,Łukasz,Polecam,5.0,Tak,2019-10-25,2019-10-16,1,6,"Świetny monitor w tej cenie. Bardzo dobra jakość wyświetlanego obrazu. 4K wyświetlane zarówno przez HDMI 2.0, jak i DisplayPort.",,
11013856,coolos,Polecam,5.0,Nie,2019-09-06,2019-09-06,3,0,"Jestem bardzo zadowolony z zakupu. Duża przestrzeń robocza, dobra rozdzielczość i 75Hz (podobno można podkręcić do około 100Hz). Kolorki wymagają kalibracji. Degradacja kontrastu na krawędziach jest widoczna z bliska, ale z odległości około 90cm od ekranu jest ok. Z racji tego że jest to matryca SVA to nie występuje znany z IPS'ów problem srebrzenia czy też backlight bleed (około 9 na 10 monitorów z matrycą IPS ma z tym problem). Największą wadą tego monitora jest ascetyczna podstawka bez możliwości regulacji, dlatego warto zaopatrzyć się w uchwyt VESA.",,
11013795,coolos,Polecam,5.0,Nie,2019-09-06,2019-09-06,0,0,"Jestem bardzo zadowolony z zakupu. Duża przestrzeń robocza, dobra rozdzielczość i 75Hz (podobno można podkręcić do około 100Hz). Kolorki wymagają kalibracji. Degradacja kontrastu na krawędziach jest widoczna z bliska, ale z odległości około 90cm od ekranu jest ok. Z racji tego że jest to matryca SVA to nie występuje znany z IPS'ów problem srebrzenia czy też backlight bleed (około 9 na 10 monitorów z matrycą IPS ma z tym problem). Największą wadą tego monitora jest ascetyczna podstawka bez możliwości regulacji, dlatego warto zaopatrzyć się w uchwyt VESA.",,
11395135,Mariusz,Polecam,5.0,Tak,2019-12-09,2019-11-08,0,0,super,,
11267833,JAN,Polecam,5.0,Tak,2019-11-13,2019-11-06,0,1,Polecam,,
13106763,Darious,Polecam,5.0,Tak,2020-09-20,2020-09-20,0,1,ok,,
11458687,Piotr,Polecam,4.0,Nie,2019-12-19,2019-12-19,0,0,"Monitor oferuje bardzo dobry stosunek ceny do jakości. Mimo, że jest to podstawowy produkt tego segmentu nie pojawiają się w nim znaczące wady. Jakość obrazu jest satysfakcjonująca zarówno do grania jak i pracy. Do wad można zaliczyć słabe kąty widzenia na boki i niezbyt stabilna podstawka (monitor kołysze się podczas pisania na klawiaturze). Za tą cenę można to jednak wybaczyć.",,
10860332,koszyq,Polecam,4.0,Nie,2019-07-31,2019-07-31,2,2,"Obraz raczej przecietny, do pracy ujdzie, ale pod katem gier celowalbym wyzej. Katy widzenia sa strasznie slabe (patrzac na srodek i na bok roznice sa bardzo widoczne). W zwiazku z tym, ze to chyba najtanszy tak duzy monitor z taka rozdzielczoscia stosunek cena/jakos wypada ok.",,
10090391,art,Polecam,5.0,Nie,2019-02-13,2019-02-13,1,0,"Mam ten produkt od 3 tygodni i polecam. Kolory są takie sobie, jednak do pracy biurowej idealny jeśli potrzebuję dużej przestrzeni.",,
11481735,Domel ,Polecam,4.0,Nie,2019-12-25,2019-12-25,2,0,"75Hz tylko na wejsciu HDMI 2 i oczywiscie DP 
HDMI 1 - 60Hz
",,
